id,market,detectedAt,currentPrice,previousPrice,changeRate,rankByChangeRate,rankByTradeValue,missedReason,suggestedStrategy,relatedRuleBefore,suggestedRuleAfter
267,KRW-SONIC,1778480663316,73.0,73.2,14.960629919999999,1,8,"SCORE_TOO_LOW: move -0.27% from previous snapshot, -2.54% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
268,KRW-PROS,1778480701412,1248.0,1248.0,0.0,255,9,"SCORE_TOO_LOW: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
269,KRW-BLEND,1778480849617,188.0,189.0,3.86740331,7,52,"TRADE_VALUE_FILTER_EXCLUDED: move -0.53% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
270,KRW-IOTA,1778480849617,95.2,95.3,3.03030303,9,122,"TRADE_VALUE_FILTER_EXCLUDED: move -0.10% from previous snapshot, 0.11% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
271,KRW-USDT,1778481003261,1474.0,1474.0,0.47716428,50,5,"SCORE_TOO_LOW: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
272,KRW-ETH,1778481003261,3445000.0,3446000.0,0.029036004645760744,146,6,"SCORE_TOO_LOW: move -0.03% from previous snapshot, 0.03% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
273,KRW-XRP,1778481003261,2147.0,2147.0,0.09324009324009325,109,1,"SCORE_TOO_LOW: move 0.00% from previous snapshot, 0.09% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
274,KRW-ONDO,1778481003261,647.0,649.0,4.35483871,7,7,"UNKNOWN: move -0.31% from previous snapshot, -0.77% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Review SignalEngine filters for this market pattern.
275,KRW-BTC,1778481003261,119300000.0,119309000.0,0.008382932349735937,162,2,"SCORE_TOO_LOW: move -0.01% from previous snapshot, 0.01% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
276,KRW-MOVE,1778481084734,30.5,30.4,5.90277778,3,29,"UNKNOWN: move 0.33% from previous snapshot, 0.66% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Review SignalEngine filters for this market pattern.
277,KRW-SUI,1778481084734,1932.0,1932.0,2.1141649048625792,173,3,"SCORE_TOO_LOW: move 0.00% from previous snapshot, 2.11% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
278,KRW-CTC,1778481384765,250.0,250.0,4.6025104599999995,6,83,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.81% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
279,KRW-KITE,1778481384765,280.0,281.0,8.10810811,2,33,"TRADE_VALUE_FILTER_EXCLUDED: move -0.36% from previous snapshot, 0.72% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
280,KRW-JTO,1778481630832,766.0,763.0,2.54350736,10,48,"TRADE_VALUE_FILTER_EXCLUDED: move 0.39% from previous snapshot, 1.06% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
281,KRW-KAT,1778481724194,15.6,15.6,4.0,6,63,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.65% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
282,KRW-PRL,1778481787075,409.0,407.0,2.7638191,9,79,"TRADE_VALUE_FILTER_EXCLUDED: move 0.49% from previous snapshot, 0.74% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
283,KRW-MBL,1778482208556,1.5,1.5,5.63380282,4,32,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, -0.66% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
284,KRW-SONIC,1778482487014,71.9,71.9,13.228346460000001,1,8,"SCORE_TOO_LOW: move 0.00% from previous snapshot, -0.55% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
285,KRW-PROS,1778482622487,1240.0,1238.0,0.16155088852988692,255,9,"SCORE_TOO_LOW: move 0.16% from previous snapshot, -0.48% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
286,KRW-BLEND,1778482718902,188.0,188.0,3.86740331,7,52,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 1.08% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
287,KRW-IOTA,1778482718902,95.3,94.9,3.13852814,9,119,"TRADE_VALUE_FILTER_EXCLUDED: move 0.42% from previous snapshot, 0.11% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
288,KRW-ETH,1778482809911,3439000.0,3440000.0,-0.029069767441860465,132,4,"SCORE_TOO_LOW: move -0.03% from previous snapshot, -0.15% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
289,KRW-QTUM,1778482809911,1525.0,1522.0,0.19710906701708278,89,10,"SCORE_TOO_LOW: move 0.20% from previous snapshot, -0.07% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
290,KRW-XRP,1778482809911,2142.0,2143.0,-0.04666355576294914,107,1,"SCORE_TOO_LOW: move -0.05% from previous snapshot, -0.14% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
291,KRW-ONDO,1778482809911,645.0,648.0,4.03225806,7,7,"UNKNOWN: move -0.46% from previous snapshot, -0.92% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Review SignalEngine filters for this market pattern.
292,KRW-BTC,1778482809911,119165000.0,119199000.0,-0.028523729225916325,133,2,"SCORE_TOO_LOW: move -0.03% from previous snapshot, -0.09% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
293,KRW-JST,1778482878375,129.0,128.0,3.2,10,208,"TRADE_VALUE_FILTER_EXCLUDED: move 0.78% from previous snapshot, 0.78% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
294,KRW-MOVE,1778482988348,31.0,30.8,7.63888889,2,26,"UNKNOWN: move 0.65% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Review SignalEngine filters for this market pattern.
295,KRW-SUI,1778482988348,1875.0,1869.0,0.32102728731942215,252,3,"SCORE_TOO_LOW: move 0.32% from previous snapshot, -1.88% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
296,KRW-CTC,1778483283647,249.0,248.0,4.18410042,5,84,"TRADE_VALUE_FILTER_EXCLUDED: move 0.40% from previous snapshot, 0.40% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
297,KRW-VANA,1778483283647,2607.0,2597.0,2.51671254,10,147,"TRADE_VALUE_FILTER_EXCLUDED: move 0.39% from previous snapshot, 0.54% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
298,KRW-KITE,1778483283647,275.0,275.0,6.17760618,3,31,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, -0.72% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
299,KRW-KAT,1778483592513,15.5,15.5,3.33333333,7,63,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, -0.64% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
300,KRW-ME,1778483884714,180.0,179.0,2.85714286,10,98,"TRADE_VALUE_FILTER_EXCLUDED: move 0.56% from previous snapshot, 2.27% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
301,KRW-MOCA,1778484037715,22.6,22.4,2.72727273,10,165,"TRADE_VALUE_FILTER_EXCLUDED: move 0.89% from previous snapshot, 1.35% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
302,KRW-MBL,1778484037715,1.49,1.5,4.92957746,6,32,"TRADE_VALUE_FILTER_EXCLUDED: move -0.67% from previous snapshot, -0.67% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
303,KRW-PRL,1778484288410,409.0,409.0,2.7638191,9,80,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
304,KRW-USDT,1778484346854,1473.0,1472.0,0.40899796,46,5,"SCORE_TOO_LOW: move 0.07% from previous snapshot, -0.07% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
305,KRW-PROS,1778484433211,1221.0,1222.0,-0.08183306055646482,256,9,"SCORE_TOO_LOW: move -0.08% from previous snapshot, -1.05% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
306,KRW-BLEND,1778484537206,192.0,194.0,6.07734807,4,51,"TRADE_VALUE_FILTER_EXCLUDED: move -1.03% from previous snapshot, 2.13% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
307,KRW-IOTA,1778484537206,94.8,94.9,2.5974026,10,116,"TRADE_VALUE_FILTER_EXCLUDED: move -0.11% from previous snapshot, 0.32% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
308,KRW-HOLO,1778484583984,120.0,120.0,2.56410256,10,114,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 1.69% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
309,KRW-LAYER,1778484615172,179.0,178.0,0.5617977528089888,208,6,"SCORE_TOO_LOW: move 0.56% from previous snapshot, -2.19% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
310,KRW-ETH,1778484615172,3434000.0,3435000.0,-0.029112081513828242,128,4,"SCORE_TOO_LOW: move -0.03% from previous snapshot, -0.03% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
311,KRW-QTUM,1778484615172,1509.0,1506.0,0.199203187250996,160,10,"SCORE_TOO_LOW: move 0.20% from previous snapshot, -0.26% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
312,KRW-XRP,1778484615172,2127.0,2128.0,-0.046992481203007516,155,1,"SCORE_TOO_LOW: move -0.05% from previous snapshot, -0.47% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
313,KRW-BTC,1778484615172,118937000.0,118946000.0,-0.007566458729171221,135,2,"SCORE_TOO_LOW: move -0.01% from previous snapshot, -0.09% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
314,KRW-SUI,1778484808309,1859.0,1858.0,0.05382131324004305,253,3,"SCORE_TOO_LOW: move 0.05% from previous snapshot, -0.43% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
315,KRW-JST,1778484988139,128.0,128.0,2.4,10,207,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
316,KRW-CTC,1778485097020,253.0,254.0,5.85774059,5,65,"TRADE_VALUE_FILTER_EXCLUDED: move -0.39% from previous snapshot, -0.39% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
317,KRW-VANA,1778485097020,2636.0,2636.0,3.65709792,7,95,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.96% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
318,KRW-ATH,1778485128111,10.6,10.5,2.9126213599999997,10,64,"TRADE_VALUE_FILTER_EXCLUDED: move 0.95% from previous snapshot, 2.91% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
319,KRW-MOVE,1778485512546,32.8,32.8,13.88888889,1,14,"UNKNOWN: move 0.00% from previous snapshot, -3.53% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Review SignalEngine filters for this market pattern.
320,KRW-FLOCK,1778485669107,119.0,118.0,3.47826087,9,92,"TRADE_VALUE_FILTER_EXCLUDED: move 0.85% from previous snapshot, 2.59% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
321,KRW-ME,1778485700167,181.0,181.0,3.42857143,10,91,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 1.12% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
322,KRW-MOCA,1778485856542,22.8,22.8,3.6363636400000003,8,148,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
323,KRW-MBL,1778485856542,1.49,1.5,4.92957746,5,31,"TRADE_VALUE_FILTER_EXCLUDED: move -0.67% from previous snapshot, -0.67% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
324,KRW-KITE,1778486170908,284.0,284.0,9.65250965,3,29,"UNKNOWN: move 0.00% from previous snapshot, 0.71% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Review SignalEngine filters for this market pattern.
325,KRW-PROS,1778486264244,1225.0,1222.0,0.823045267489712,256,9,"SCORE_TOO_LOW: move 0.25% from previous snapshot, 0.82% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
326,KRW-BLEND,1778486358396,188.0,188.0,3.86740331,7,44,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.53% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
327,KRW-IOTA,1778486358396,95.1,95.1,2.92207792,10,116,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.11% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
328,KRW-LAYER,1778486420971,180.0,181.0,0.0,176,6,"SCORE_TOO_LOW: move -0.55% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
329,KRW-ETH,1778486420971,3436000.0,3436000.0,0.08738712496358869,132,5,"SCORE_TOO_LOW: move 0.00% from previous snapshot, 0.09% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
330,KRW-QTUM,1778486420971,1514.0,1513.0,0.06609385327164573,143,10,"SCORE_TOO_LOW: move 0.07% from previous snapshot, 0.07% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
331,KRW-XRP,1778486420971,2135.0,2136.0,0.046860356138706656,127,1,"SCORE_TOO_LOW: move -0.05% from previous snapshot, 0.05% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
332,KRW-BTC,1778486420971,119001000.0,119002000.0,-0.0008403220113947665,137,2,"SCORE_TOO_LOW: move -0.00% from previous snapshot, -0.01% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
333,KRW-SUI,1778486639729,1894.0,1888.0,0.5307855626326964,239,3,"SCORE_TOO_LOW: move 0.32% from previous snapshot, 0.53% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
334,KRW-JST,1778486856408,129.0,129.0,3.2,10,206,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
335,KRW-CTC,1778486918991,253.0,252.0,5.85774059,5,65,"TRADE_VALUE_FILTER_EXCLUDED: move 0.40% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
336,KRW-ATH,1778486950348,10.8,10.8,4.85436893,6,64,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
337,KRW-MOVE,1778487326390,32.7,32.6,13.54166667,1,14,"UNKNOWN: move 0.31% from previous snapshot, -0.61% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Review SignalEngine filters for this market pattern.
338,KRW-USDT,1778487357568,1474.0,1473.0,0.47716428,46,4,"SCORE_TOO_LOW: move 0.07% from previous snapshot, 0.14% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
339,KRW-FLOCK,1778487544470,119.0,118.0,3.47826087,9,90,"TRADE_VALUE_FILTER_EXCLUDED: move 0.85% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
340,KRW-MOCA,1778487669298,22.8,22.8,3.6363636400000003,8,138,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
341,KRW-MBL,1778487669298,1.51,1.5,6.33802817,4,31,"TRADE_VALUE_FILTER_EXCLUDED: move 0.67% from previous snapshot, -0.66% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
342,KRW-ME,1778488014311,181.0,180.0,3.42857143,10,85,"TRADE_VALUE_FILTER_EXCLUDED: move 0.56% from previous snapshot, 1.12% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
343,KRW-PROS,1778488076889,1210.0,1210.0,0.0,255,9,"SCORE_TOO_LOW: move 0.00% from previous snapshot, -0.49% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
344,KRW-BLEND,1778488170877,188.0,189.0,3.86740331,7,44,"TRADE_VALUE_FILTER_EXCLUDED: move -0.53% from previous snapshot, 0.53% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
345,KRW-IOTA,1778488170877,95.4,95.4,3.24675325,10,112,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, -0.10% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
346,KRW-ONDO,1778488202137,629.0,629.0,1.4516129,23,7,"SCORE_TOO_LOW: move 0.00% from previous snapshot, -0.63% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
347,KRW-LAYER,1778488233525,181.0,181.0,0.0,124,6,"SCORE_TOO_LOW: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
348,KRW-ETH,1778488233525,3433000.0,3433000.0,0.0,129,5,"SCORE_TOO_LOW: move 0.00% from previous snapshot, -0.09% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
349,KRW-QTUM,1778488233525,1514.0,1514.0,0.0,133,10,"SCORE_TOO_LOW: move 0.00% from previous snapshot, -0.26% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
350,KRW-XRP,1778488233525,2126.0,2128.0,-0.09398496240601503,154,1,"SCORE_TOO_LOW: move -0.09% from previous snapshot, -0.33% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
351,KRW-BTC,1778488233525,118905000.0,118962000.0,-0.04791446007968931,140,2,"SCORE_TOO_LOW: move -0.05% from previous snapshot, -0.17% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
352,KRW-SUI,1778488452747,1851.0,1856.0,-0.26939655172413796,251,3,"SCORE_TOO_LOW: move -0.27% from previous snapshot, -0.80% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
353,KRW-CTC,1778488734223,247.0,247.0,3.34728033,9,65,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, -1.20% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
354,KRW-ATH,1778488765410,10.9,10.9,5.825242719999999,4,62,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
355,KRW-KITE,1778489108551,286.0,286.0,10.42471042,2,26,"UNKNOWN: move 0.00% from previous snapshot, -1.38% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Review SignalEngine filters for this market pattern.
356,KRW-MOVE,1778489170899,32.4,32.3,12.5,1,14,"UNKNOWN: move 0.31% from previous snapshot, 1.25% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Review SignalEngine filters for this market pattern.
357,KRW-USDT,1778489295684,1474.0,1474.0,0.47716428,50,4,"SCORE_TOO_LOW: move 0.00% from previous snapshot, 0.07% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
358,KRW-SOPH,1778489295684,14.6,14.6,2.81690141,10,82,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.69% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
359,KRW-GMT,1778489388740,18.7,18.6,3.3149171300000004,10,215,"TRADE_VALUE_FILTER_EXCLUDED: move 0.54% from previous snapshot, 1.08% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
360,KRW-MOCA,1778489482152,23.0,23.1,4.54545455,7,133,"TRADE_VALUE_FILTER_EXCLUDED: move -0.43% from previous snapshot, 0.88% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
361,KRW-FLOCK,1778489513821,119.0,118.0,3.47826087,10,84,"TRADE_VALUE_FILTER_EXCLUDED: move 0.85% from previous snapshot, -1.65% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
362,KRW-ME,1778489827683,183.0,183.0,4.57142857,5,84,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.55% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
363,KRW-KAITO,1778489859230,762.0,762.0,2.97297297,10,171,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.26% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
364,KRW-MBL,1778489859230,1.49,1.48,4.92957746,5,32,"TRADE_VALUE_FILTER_EXCLUDED: move 0.68% from previous snapshot, -0.67% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
365,KRW-PROS,1778489890472,1203.0,1203.0,0.0,256,9,"SCORE_TOO_LOW: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
