id,changedAt,affectedStrategyName,strategyVersionBefore,strategyVersionAfterSuggestion,beforeRule,afterRule,reason,evidenceMarkets,expectedEffect,applied
45,1778465029353,Momentum Breakout,v1,v1-proposal,Current SignalEngine scoring and filters for Momentum Breakout.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 14 time(s).",Momentum Breakout is related to repeated missed opportunities.,"KRW-LAYER, KRW-KITE, KRW-STRAX, KRW-ORCA, KRW-USDT, KRW-2Z, KRW-XRP, KRW-ARK, KRW-IOTA, KRW-TT, KRW-BLEND, KRW-AKT, KRW-PROS, KRW-ONDO, KRW-WET, KRW-MBL, KRW-BTC, KRW-ZAMA, KRW-AHT, KRW-ENS, KRW-MON, KRW-MED, KRW-PIEVERSE, KRW-CTC, KRW-ETH, KRW-IQ, KRW-CFG, KRW-CVC, KRW-MVL, KRW-CBK, KRW-AQT, KRW-GAME2, KRW-META, KRW-ELF, KRW-BIGTIME, KRW-KAITO, KRW-MEGA, KRW-OPEN, KRW-ETC, KRW-ALT, KRW-KERNEL, KRW-IP, KRW-WLFI, KRW-QKC, KRW-KAVA, KRW-ENA, KRW-EGLD, KRW-POWR, KRW-POLYX, KRW-BIRB, KRW-SENT, KRW-YGG, KRW-HP, KRW-JST, KRW-MIRA, KRW-MANA, KRW-MTL",Reduce repeated misses or weak outcomes after user review.,0
46,1778465685641,Momentum Breakout,v1,v1-proposal,Current SignalEngine scoring and filters for Momentum Breakout.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 12 time(s).",Momentum Breakout is related to repeated missed opportunities.,"KRW-BTC, KRW-ETH, KRW-ZAMA, KRW-LAYER, KRW-KITE, KRW-STRAX, KRW-ORCA, KRW-USDT, KRW-2Z, KRW-XRP, KRW-ARK, KRW-IOTA, KRW-TT, KRW-BLEND, KRW-AKT, KRW-PROS, KRW-ONDO, KRW-WET, KRW-MBL, KRW-AHT, KRW-ENS, KRW-MON, KRW-MED, KRW-PIEVERSE, KRW-CTC, KRW-IQ, KRW-CFG, KRW-CVC, KRW-MVL, KRW-CBK, KRW-AQT, KRW-GAME2, KRW-META, KRW-ELF, KRW-BIGTIME, KRW-KAITO, KRW-MEGA, KRW-OPEN, KRW-ETC, KRW-ALT, KRW-KERNEL, KRW-IP, KRW-WLFI, KRW-QKC, KRW-KAVA, KRW-ENA, KRW-EGLD, KRW-POWR, KRW-POLYX, KRW-BIRB, KRW-SENT, KRW-YGG, KRW-HP, KRW-JST",Reduce repeated misses or weak outcomes after user review.,0
47,1778465685641,Volume Accumulation,v1,v1-proposal,Current SignalEngine scoring and filters for Volume Accumulation.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 12 time(s).","Volume Accumulation is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
48,1778465685641,Rebound Watch,v1,v1-proposal,Current SignalEngine scoring and filters for Rebound Watch.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 12 time(s).","Rebound Watch is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
49,1778465716750,Momentum Breakout,v1,v1-proposal,Current SignalEngine scoring and filters for Momentum Breakout.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 11 time(s).",Momentum Breakout is related to repeated missed opportunities.,"KRW-PIEVERSE, KRW-BTC, KRW-ETH, KRW-ZAMA, KRW-LAYER, KRW-KITE, KRW-STRAX, KRW-ORCA, KRW-USDT, KRW-2Z, KRW-XRP, KRW-ARK, KRW-IOTA, KRW-TT, KRW-BLEND, KRW-AKT, KRW-PROS, KRW-ONDO, KRW-WET, KRW-MBL, KRW-AHT, KRW-ENS, KRW-MON, KRW-MED, KRW-CTC, KRW-IQ, KRW-CFG, KRW-CVC, KRW-MVL, KRW-CBK, KRW-AQT, KRW-GAME2, KRW-META, KRW-ELF, KRW-BIGTIME, KRW-KAITO, KRW-MEGA, KRW-OPEN, KRW-ETC, KRW-ALT, KRW-KERNEL, KRW-IP, KRW-WLFI, KRW-QKC, KRW-KAVA, KRW-ENA, KRW-EGLD, KRW-POWR, KRW-POLYX, KRW-BIRB, KRW-SENT, KRW-YGG, KRW-HP",Reduce repeated misses or weak outcomes after user review.,0
50,1778465716750,Volume Accumulation,v1,v1-proposal,Current SignalEngine scoring and filters for Volume Accumulation.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 11 time(s).","Volume Accumulation is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
51,1778465716750,Rebound Watch,v1,v1-proposal,Current SignalEngine scoring and filters for Rebound Watch.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 11 time(s).","Rebound Watch is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
52,1778465904037,Volume Accumulation,v1,v1-proposal,Current SignalEngine scoring and filters for Volume Accumulation.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 10 time(s).","Volume Accumulation is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
53,1778465904037,Momentum Breakout,v1,v1-proposal,Current SignalEngine scoring and filters for Momentum Breakout.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 10 time(s).",Momentum Breakout is related to repeated missed opportunities.,"KRW-GAME2, KRW-MBL, KRW-PIEVERSE, KRW-BTC, KRW-ETH, KRW-ZAMA, KRW-LAYER, KRW-KITE, KRW-STRAX, KRW-ORCA, KRW-USDT, KRW-2Z, KRW-XRP, KRW-ARK, KRW-IOTA, KRW-TT, KRW-BLEND, KRW-AKT, KRW-PROS, KRW-ONDO, KRW-WET, KRW-AHT, KRW-ENS, KRW-MON, KRW-MED, KRW-CTC, KRW-IQ, KRW-CFG, KRW-CVC, KRW-MVL, KRW-CBK, KRW-AQT, KRW-META, KRW-ELF, KRW-BIGTIME, KRW-KAITO, KRW-MEGA, KRW-OPEN, KRW-ETC, KRW-ALT, KRW-KERNEL, KRW-IP, KRW-WLFI, KRW-QKC, KRW-KAVA, KRW-ENA, KRW-EGLD, KRW-POWR, KRW-POLYX, KRW-BIRB, KRW-SENT",Reduce repeated misses or weak outcomes after user review.,0
54,1778465904037,Rebound Watch,v1,v1-proposal,Current SignalEngine scoring and filters for Rebound Watch.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 10 time(s).","Rebound Watch is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
55,1778465935381,Volume Accumulation,v1,v1-proposal,Current SignalEngine scoring and filters for Volume Accumulation.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 9 time(s).","Volume Accumulation is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
56,1778465935381,Momentum Breakout,v1,v1-proposal,Current SignalEngine scoring and filters for Momentum Breakout.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 9 time(s).",Momentum Breakout is related to repeated missed opportunities.,"KRW-WET, KRW-GAME2, KRW-MBL, KRW-PIEVERSE, KRW-BTC, KRW-ETH, KRW-ZAMA, KRW-LAYER, KRW-KITE, KRW-STRAX, KRW-ORCA, KRW-USDT, KRW-2Z, KRW-XRP, KRW-ARK, KRW-IOTA, KRW-TT, KRW-BLEND, KRW-AKT, KRW-PROS, KRW-ONDO, KRW-AHT, KRW-ENS, KRW-MON, KRW-MED, KRW-CTC, KRW-IQ, KRW-CFG, KRW-CVC, KRW-MVL, KRW-CBK, KRW-AQT, KRW-META, KRW-ELF, KRW-BIGTIME, KRW-KAITO, KRW-MEGA, KRW-OPEN, KRW-ETC, KRW-ALT, KRW-KERNEL, KRW-IP, KRW-WLFI, KRW-QKC, KRW-KAVA, KRW-ENA, KRW-EGLD, KRW-POWR, KRW-POLYX, KRW-BIRB",Reduce repeated misses or weak outcomes after user review.,0
57,1778465935381,Rebound Watch,v1,v1-proposal,Current SignalEngine scoring and filters for Rebound Watch.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 9 time(s).","Rebound Watch is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
58,1778466240533,Rebound Watch,v1,v1-proposal,Current SignalEngine scoring and filters for Rebound Watch.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 7 time(s).","Rebound Watch is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
59,1778466240533,Momentum Breakout,v1,v1-proposal,Current SignalEngine scoring and filters for Momentum Breakout.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 7 time(s).",Momentum Breakout is related to repeated missed opportunities.,"KRW-DRIFT, KRW-BLEND, KRW-PROS, KRW-WET, KRW-GAME2, KRW-MBL, KRW-PIEVERSE, KRW-BTC, KRW-ETH, KRW-ZAMA, KRW-LAYER, KRW-KITE, KRW-STRAX, KRW-ORCA, KRW-USDT, KRW-2Z, KRW-XRP, KRW-ARK, KRW-IOTA, KRW-TT, KRW-AKT, KRW-ONDO, KRW-AHT, KRW-ENS, KRW-MON, KRW-MED, KRW-CTC, KRW-IQ, KRW-CFG, KRW-CVC, KRW-MVL, KRW-CBK, KRW-AQT, KRW-META, KRW-ELF, KRW-BIGTIME, KRW-KAITO, KRW-MEGA, KRW-OPEN, KRW-ETC, KRW-ALT, KRW-KERNEL, KRW-IP, KRW-WLFI, KRW-QKC, KRW-KAVA, KRW-ENA, KRW-EGLD",Reduce repeated misses or weak outcomes after user review.,0
60,1778466240533,Volume Accumulation,v1,v1-proposal,Current SignalEngine scoring and filters for Volume Accumulation.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 7 time(s).","Volume Accumulation is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
61,1778466603880,Rebound Watch,v1,v1-proposal,Current SignalEngine scoring and filters for Rebound Watch.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 6 time(s).","Rebound Watch is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
62,1778466603880,Momentum Breakout,v1,v1-proposal,Current SignalEngine scoring and filters for Momentum Breakout.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 6 time(s).",Momentum Breakout is related to repeated missed opportunities.,"KRW-TT, KRW-XRP, KRW-AKT, KRW-DRIFT, KRW-BLEND, KRW-PROS, KRW-WET, KRW-GAME2, KRW-MBL, KRW-PIEVERSE, KRW-BTC, KRW-ETH, KRW-ZAMA, KRW-LAYER, KRW-KITE, KRW-STRAX, KRW-ORCA, KRW-USDT, KRW-2Z, KRW-ARK, KRW-IOTA, KRW-ONDO, KRW-AHT, KRW-ENS, KRW-MON, KRW-MED, KRW-CTC, KRW-IQ, KRW-CFG, KRW-CVC, KRW-MVL, KRW-CBK, KRW-AQT, KRW-META, KRW-ELF, KRW-BIGTIME, KRW-KAITO, KRW-MEGA, KRW-OPEN, KRW-ETC, KRW-ALT, KRW-KERNEL, KRW-IP, KRW-WLFI, KRW-QKC",Reduce repeated misses or weak outcomes after user review.,0
63,1778466603880,Volume Accumulation,v1,v1-proposal,Current SignalEngine scoring and filters for Volume Accumulation.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 6 time(s).","Volume Accumulation is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
64,1778467429126,Volume Accumulation,v1,v1-proposal,Current SignalEngine scoring and filters for Volume Accumulation.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 5 time(s).","Volume Accumulation is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
65,1778467429126,Rebound Watch,v1,v1-proposal,Current SignalEngine scoring and filters for Rebound Watch.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 5 time(s).","Rebound Watch is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
66,1778467429126,Momentum Breakout,v1,v1-proposal,Current SignalEngine scoring and filters for Momentum Breakout.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 5 time(s).",Momentum Breakout is related to repeated missed opportunities.,"KRW-SUI, KRW-SAHARA, KRW-ZAMA, KRW-STRAX, KRW-KITE, KRW-LAYER, KRW-BOUNTY, KRW-TT, KRW-XRP, KRW-AKT, KRW-DRIFT, KRW-BLEND, KRW-PROS, KRW-WET, KRW-GAME2, KRW-MBL, KRW-PIEVERSE, KRW-BTC, KRW-ETH, KRW-ORCA, KRW-USDT, KRW-2Z, KRW-ARK, KRW-IOTA, KRW-ONDO, KRW-AHT, KRW-ENS, KRW-MON, KRW-MED, KRW-CTC, KRW-IQ, KRW-CFG, KRW-CVC, KRW-MVL, KRW-CBK, KRW-AQT, KRW-META, KRW-ELF, KRW-BIGTIME, KRW-KAITO, KRW-MEGA, KRW-OPEN",Reduce repeated misses or weak outcomes after user review.,0
67,1778481003261,Rebound Watch,v1,v1-proposal,Current SignalEngine scoring and filters for Rebound Watch.,"Review rule for SCORE_TOO_LOW: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 6 time(s).",Rebound Watch has many expired signals without target or stop confirmation.,Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
68,1778481003261,Momentum Breakout,v1,v1-proposal,Current SignalEngine scoring and filters for Momentum Breakout.,"Review rule for SCORE_TOO_LOW: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 6 time(s).",Momentum Breakout has many expired signals without target or stop confirmation.,"KRW-BTC, KRW-ONDO, KRW-XRP, KRW-ETH, KRW-USDT, KRW-IOTA, KRW-BLEND, KRW-PROS, KRW-SONIC, KRW-MBL, KRW-PIEVERSE, KRW-KAT, KRW-KITE, KRW-CTC, KRW-JTO, KRW-MOVE, KRW-JST, KRW-PRL, KRW-SUI, KRW-SAHARA, KRW-ENS, KRW-LAYER, KRW-HIVE, KRW-AKT, KRW-TT, KRW-BOUNTY",Reduce repeated misses or weak outcomes after user review.,0
69,1778481003261,Volume Accumulation,v1,v1-proposal,Current SignalEngine scoring and filters for Volume Accumulation.,"Review rule for SCORE_TOO_LOW: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 6 time(s).",Volume Accumulation has many expired signals without target or stop confirmation.,Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
70,1778496362741,Rebound Watch,v1,v1-proposal,Current SignalEngine scoring and filters for Rebound Watch.,"Review rule for SCORE_TOO_LOW: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 5 time(s).",Rebound Watch has many expired signals without target or stop confirmation.,Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
71,1778496362741,Momentum Breakout,v1,v1-proposal,Current SignalEngine scoring and filters for Momentum Breakout.,"Review rule for SCORE_TOO_LOW: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 5 time(s).",Momentum Breakout has many expired signals without target or stop confirmation.,"KRW-LAYER, KRW-DOGE, KRW-SUI, KRW-KAITO, KRW-2Z, KRW-BTC, KRW-XRP, KRW-ETH, KRW-MBL, KRW-IOTA, KRW-KAT, KRW-USDT, KRW-ATH, KRW-ME, KRW-VANA, KRW-ICP, KRW-FF, KRW-ATOM, KRW-AKT, KRW-CARV, KRW-ONDO, KRW-GMT, KRW-QTUM, KRW-PROS, KRW-MOVE, KRW-MOCA, KRW-KITE, KRW-SONIC, KRW-BLEND, KRW-FLOCK, KRW-CTC, KRW-AWE, KRW-JST, KRW-SOPH",Reduce repeated misses or weak outcomes after user review.,0
72,1778496362741,Volume Accumulation,v1,v1-proposal,Current SignalEngine scoring and filters for Volume Accumulation.,"Review rule for SCORE_TOO_LOW: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 5 time(s).",Volume Accumulation has many expired signals without target or stop confirmation.,Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
73,1778497051943,Volume Accumulation,v1,v1-proposal,Current SignalEngine scoring and filters for Volume Accumulation.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 4 time(s).",Volume Accumulation has many expired signals without target or stop confirmation.,Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
74,1778497051943,Rebound Watch,v1,v1-proposal,Current SignalEngine scoring and filters for Rebound Watch.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 4 time(s).",Rebound Watch has many expired signals without target or stop confirmation.,Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
75,1778497051943,Momentum Breakout,v1,v1-proposal,Current SignalEngine scoring and filters for Momentum Breakout.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 4 time(s).",Momentum Breakout has many expired signals without target or stop confirmation.,"KRW-ME, KRW-FLOCK, KRW-ICP, KRW-MOVE, KRW-FF, KRW-QTUM, KRW-CARV, KRW-LAYER, KRW-DOGE, KRW-SUI, KRW-KAITO, KRW-2Z, KRW-BTC, KRW-XRP, KRW-ETH, KRW-MBL, KRW-IOTA, KRW-KAT, KRW-USDT, KRW-ATH, KRW-VANA, KRW-ATOM, KRW-AKT, KRW-ONDO, KRW-GMT, KRW-PROS, KRW-MOCA, KRW-KITE, KRW-SONIC, KRW-BLEND, KRW-CTC, KRW-AWE, KRW-JST, KRW-SOPH",Reduce repeated misses or weak outcomes after user review.,0
76,1778499644600,Rebound Watch,v1,v1-proposal,Current SignalEngine scoring and filters for Rebound Watch.,"Review rule for SCORE_TOO_LOW: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 3 time(s).",Rebound Watch has many expired signals without target or stop confirmation.,Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
77,1778499644600,Volume Accumulation,v1,v1-proposal,Current SignalEngine scoring and filters for Volume Accumulation.,"Review rule for SCORE_TOO_LOW: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 3 time(s).",Volume Accumulation has many expired signals without target or stop confirmation.,Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
78,1778499644600,Momentum Breakout,v1,v1-proposal,Current SignalEngine scoring and filters for Momentum Breakout.,"Review rule for SCORE_TOO_LOW: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 3 time(s).",Momentum Breakout has many expired signals without target or stop confirmation.,"KRW-ONDO, KRW-SUI, KRW-AKT, KRW-INJ, KRW-LAYER, KRW-BTC, KRW-XRP, KRW-ETH, KRW-MBL, KRW-ME, KRW-USDT, KRW-AWE, KRW-ICP, KRW-MOVE, KRW-FF, KRW-QTUM, KRW-CARV, KRW-DOGE, KRW-AERO, KRW-KAITO, KRW-CTC, KRW-KITE, KRW-KAT, KRW-IOTA, KRW-FLOCK, KRW-2Z, KRW-ATH, KRW-VANA, KRW-ATOM, KRW-GMT, KRW-PROS, KRW-MOCA, KRW-SONIC, KRW-BLEND",Reduce repeated misses or weak outcomes after user review.,0
79,1778500745304,Volume Accumulation,v1,v1-proposal,Current SignalEngine scoring and filters for Volume Accumulation.,"Review rule for SCORE_TOO_LOW: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 4 time(s).",Volume Accumulation has many expired signals without target or stop confirmation.,Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
80,1778500745304,Rebound Watch,v1,v1-proposal,Current SignalEngine scoring and filters for Rebound Watch.,"Review rule for SCORE_TOO_LOW: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 4 time(s).",Rebound Watch has many expired signals without target or stop confirmation.,Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
81,1778500745304,Momentum Breakout,v1,v1-proposal,Current SignalEngine scoring and filters for Momentum Breakout.,"Review rule for SCORE_TOO_LOW: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 4 time(s).",Momentum Breakout has many expired signals without target or stop confirmation.,"KRW-GMT, KRW-ICP, KRW-MOVE, KRW-FF, KRW-CARV, KRW-QTUM, KRW-CTC, KRW-KITE, KRW-DOGE, KRW-AERO, KRW-ONDO, KRW-SUI, KRW-AKT, KRW-INJ, KRW-LAYER, KRW-BTC, KRW-XRP, KRW-ETH, KRW-MBL, KRW-ME, KRW-USDT, KRW-AWE, KRW-KAITO, KRW-KAT, KRW-IOTA, KRW-FLOCK, KRW-2Z, KRW-ATH, KRW-VANA, KRW-ATOM, KRW-PROS, KRW-MOCA, KRW-SONIC",Reduce repeated misses or weak outcomes after user review.,0
82,1778513424958,Volume Accumulation,v1,v1-proposal,Current SignalEngine scoring and filters for Volume Accumulation.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 3 time(s).","Volume Accumulation is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
83,1778513424958,Rebound Watch,v1,v1-proposal,Current SignalEngine scoring and filters for Rebound Watch.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 3 time(s).",Rebound Watch has many expired signals without target or stop confirmation.,Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
84,1778513424958,Momentum Breakout,v1,v1-proposal,Current SignalEngine scoring and filters for Momentum Breakout.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 3 time(s).",Momentum Breakout has many expired signals without target or stop confirmation.,"KRW-KITE, KRW-MBL, KRW-COMP, KRW-GMT, KRW-ATH, KRW-LAYER, KRW-XRP, KRW-FF, KRW-MED, KRW-DOGE, KRW-ONDO, KRW-SUI, KRW-CTC, KRW-AKT, KRW-BTC, KRW-ETH, KRW-USDT, KRW-AWE, KRW-MOVE, KRW-META, KRW-TT, KRW-SC, KRW-IQ, KRW-AHT, KRW-GAME2, KRW-CRO, KRW-ICP, KRW-SOL, KRW-INJ, KRW-SOPH, KRW-KAITO",Reduce repeated misses or weak outcomes after user review.,0
85,1778526247232,Rebound Watch,v1,v1-proposal,Current SignalEngine scoring and filters for Rebound Watch.,"Review rule for UNKNOWN: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 3 time(s).","Rebound Watch is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
86,1778526247232,Momentum Breakout,v1,v1-proposal,Current SignalEngine scoring and filters for Momentum Breakout.,"Review rule for UNKNOWN: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 3 time(s).",Momentum Breakout has many expired signals without target or stop confirmation.,"KRW-ZBT, KRW-SUI, KRW-GMT, KRW-ATH, KRW-ETH, KRW-FF, KRW-USDT, KRW-MOVE, KRW-CARV, KRW-MBL, KRW-ONDO, KRW-IOST, KRW-MOCA, KRW-LAYER, KRW-XRP, KRW-INJ, KRW-CTC, KRW-AKT, KRW-SOL, KRW-KITE, KRW-DOGE, KRW-BTC, KRW-COMP, KRW-TREE, KRW-AWE, KRW-KAT",Reduce repeated misses or weak outcomes after user review.,0
87,1778526247232,Volume Accumulation,v1,v1-proposal,Current SignalEngine scoring and filters for Volume Accumulation.,"Review rule for UNKNOWN: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 3 time(s).","Volume Accumulation is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
88,1778528294710,Momentum Breakout,v1,v1-proposal,Current SignalEngine scoring and filters for Momentum Breakout.,"Review rule for UNKNOWN: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 4 time(s).",Momentum Breakout has many expired signals without target or stop confirmation.,"KRW-SUI, KRW-GMT, KRW-ATH, KRW-ETH, KRW-FF, KRW-USDT, KRW-BTC, KRW-MBL, KRW-ONDO, KRW-PENDLE, KRW-IOST, KRW-LAYER, KRW-XRP, KRW-INJ, KRW-AKT, KRW-CTC, KRW-ZBT, KRW-MOVE, KRW-CARV, KRW-MOCA, KRW-SOL, KRW-KITE, KRW-DOGE, KRW-COMP, KRW-TREE, KRW-AWE, KRW-KAT",Reduce repeated misses or weak outcomes after user review.,0
89,1778528294710,Rebound Watch,v1,v1-proposal,Current SignalEngine scoring and filters for Rebound Watch.,"Review rule for UNKNOWN: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 4 time(s).","Rebound Watch is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
90,1778528294710,Volume Accumulation,v1,v1-proposal,Current SignalEngine scoring and filters for Volume Accumulation.,"Review rule for UNKNOWN: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 4 time(s).","Volume Accumulation is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
91,1778533511418,Momentum Breakout,v1,v1-proposal,Current SignalEngine scoring and filters for Momentum Breakout.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 5 time(s).",Momentum Breakout has many expired signals without target or stop confirmation.,"KRW-MBL, KRW-PENDLE, KRW-IOST, KRW-LAYER, KRW-ONDO, KRW-CTC, KRW-BTC, KRW-XRP, KRW-INJ, KRW-ATH, KRW-AKT, KRW-MOVE, KRW-CARV, KRW-SUI, KRW-GMT, KRW-ETH, KRW-FF, KRW-USDT, KRW-MED, KRW-CC, KRW-ZBT, KRW-MOCA, KRW-SOL, KRW-KITE",Reduce repeated misses or weak outcomes after user review.,0
92,1778533511418,Volume Accumulation,v1,v1-proposal,Current SignalEngine scoring and filters for Volume Accumulation.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 5 time(s).","Volume Accumulation is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
93,1778533511418,Rebound Watch,v1,v1-proposal,Current SignalEngine scoring and filters for Rebound Watch.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 5 time(s).","Rebound Watch is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
